,Date,YearMo,Month,Assgn_dam,Up_Avg,Ds_Avg,Temp_Diff,Abs_Temp_Diff,Sig_05
0,2014-01-01,201401,1,298.0,8.738181457161355,7.659604542124725,-1.0785769150366296,1.0785769150366296,Significant
1,2014-01-01,201401,1,301.0,8.388838104658594,8.137600386143594,-0.2512377185150001,0.2512377185150001,Significant
2,2014-01-01,201401,1,8545.0,5.801891778698295,5.930082301068065,0.12819052236977058,0.12819052236977058,Significant
3,2014-01-01,201401,1,8562.0,6.436136180679459,6.619281485347952,0.18314530466849277,0.18314530466849277,Significant
4,2015-01-01,201501,1,8669.0,0.19127634051357303,0.21538487729878208,0.02410853678520905,0.02410853678520905,Not Significant
5,2017-01-01,201701,1,8678.0,24.497347782961103,24.535755994780132,0.03840821181902854,0.03840821181902854,Not Significant
6,2018-01-01,201801,1,250.0,8.154258649684648,5.268013434974009,-2.886245214710639,2.886245214710639,Significant
7,2018-01-01,201801,1,253.0,3.5561826602625266,2.5625411773758437,-0.9936414828866829,0.9936414828866829,Significant
8,2019-01-01,201901,1,60.0,10.031112669751526,9.940160371792178,-0.09095229795934756,0.09095229795934756,Significant
9,2024-01-01,202401,1,8626.0,11.898149750736845,11.904787416701922,0.0066376659650764225,0.0066376659650764225,Not Significant
10,2024-01-01,202401,1,8629.0,11.860682937237506,11.697951820891687,-0.16273111634581916,0.16273111634581916,Significant
11,2024-01-01,202401,1,8635.0,12.110564777697002,11.731842470913442,-0.3787223067835601,0.3787223067835601,Significant
12,2016-01-02,201601,1,95.0,12.342994578713107,12.796840622151954,0.4538460434388476,0.4538460434388476,Significant
13,2016-01-02,201601,1,8628.0,8.804102982152532,9.060039373125703,0.25593639097317045,0.25593639097317045,Significant
14,2019-01-02,201901,1,15.0,4.743924399175594,5.002284399682012,0.2583600005064186,0.2583600005064186,Not Significant
15,2019-01-02,201901,1,18.0,6.167281565119618,4.752365465258937,-1.4149160998606805,1.4149160998606805,Significant
16,2022-01-02,202201,1,95.0,11.402015787330562,10.555766462942431,-0.8462493243881308,0.8462493243881308,Significant
17,2024-01-02,202401,1,476.0,9.413718857740006,7.21607157629002,-2.197647281449987,2.197647281449987,Significant
18,2025-01-02,202501,1,95.0,14.036892741322559,14.944379723942799,0.9074869826202399,0.9074869826202399,Significant
19,2025-01-02,202501,1,8591.0,9.23709225952011,9.380302466031138,0.14321020651102678,0.14321020651102678,Not Significant
20,2025-01-02,202501,1,8594.0,9.563696493948683,9.167913585207437,-0.39578290874124633,0.39578290874124633,Significant
21,2025-01-02,202501,1,8595.0,9.848186620111244,8.859146142313692,-0.9890404777975519,0.9890404777975519,Significant
22,2025-01-02,202501,1,8604.0,10.871951340539766,10.156831457687655,-0.715119882852111,0.715119882852111,Significant
23,2025-01-02,202501,1,8622.0,10.950947877468572,10.849523847916263,-0.10142402955230878,0.10142402955230878,Not Significant
24,2025-01-02,202501,1,8626.0,11.74524535716834,11.66846069663634,-0.07678466053200061,0.07678466053200061,Significant
25,2025-01-02,202501,1,8629.0,11.76366173557617,11.449338474296054,-0.3143232612801157,0.3143232612801157,Significant
26,2014-01-03,201401,1,59.0,12.31609792483224,13.535332206295859,1.2192342814636188,1.2192342814636188,Significant
27,2014-01-03,201401,1,8590.0,4.083883476483181,3.650339319539534,-0.4335441569436469,0.4335441569436469,Significant
28,2014-01-03,201401,1,8591.0,3.7753840632747413,3.8945061671295362,0.11912210385479494,0.11912210385479494,Not Significant
29,2014-01-03,201401,1,8594.0,4.607558516795616,3.459409684871798,-1.1481488319238182,1.1481488319238182,Significant
