,Month,Day,Year,Assgn_dam,NodeCount_x,NodeCount_y
181,1,8,2015,8626.0,50,50
182,1,8,2015,8635.0,50,48
183,1,8,2015,8642.0,43,47
184,1,8,2017,525.0,11,30
185,1,8,2017,546.0,22,34
186,1,8,2017,548.0,28,45
187,1,8,2017,554.0,25,41
188,1,8,2017,555.0,24,44
189,1,8,2017,567.0,21,48
190,1,8,2017,587.0,49,48
191,1,8,2017,8670.0,20,44
192,1,8,2018,246.0,45,50
193,1,8,2020,501.0,6,19
194,1,8,2020,525.0,11,32
195,1,8,2020,8672.0,50,50
196,1,8,2020,8674.0,36,39
197,1,8,2020,8675.0,33,38
198,1,8,2020,8676.0,50,50
199,1,8,2020,8681.0,50,45
200,1,8,2021,95.0,14,40
201,1,8,2021,99.0,26,44
202,1,8,2021,103.0,11,28
203,1,8,2022,60.0,33,44
204,1,8,2022,620.0,49,46
205,1,8,2022,670.0,38,21
206,1,8,2023,8532.0,35,39
207,1,8,2023,8534.0,43,42
208,1,8,2024,95.0,10,23
209,1,8,2024,763.0,26,21
210,1,9,2016,60.0,32,43
211,1,9,2021,253.0,6,33
212,1,9,2021,266.0,50,34
213,1,9,2022,60.0,27,46
214,1,9,2023,554.0,37,46
215,1,9,2023,567.0,23,50
216,1,9,2023,587.0,48,47
217,1,9,2024,95.0,11,33
218,1,9,2024,99.0,15,44
219,1,9,2025,60.0,15,30
220,1,9,2025,670.0,5,19
221,1,9,2025,8594.0,14,49
222,1,10,2014,59.0,28,48
223,1,10,2014,60.0,26,41
224,1,10,2015,501.0,5,18
225,1,10,2015,525.0,11,30
226,1,10,2019,8591.0,19,37
227,1,10,2019,8594.0,7,38
228,1,10,2019,8595.0,18,47
229,1,10,2019,8604.0,45,30
230,1,10,2019,8617.0,49,48
231,1,10,2019,8625.0,41,49
232,1,10,2019,8626.0,50,49
233,1,10,2019,8629.0,41,43
234,1,10,2019,8637.0,15,49
235,1,10,2019,8639.0,25,49
236,1,10,2021,525.0,11,35
237,1,10,2021,8672.0,45,50
238,1,10,2021,8673.0,44,42
239,1,10,2021,8674.0,20,17
240,1,10,2021,8675.0,17,17
241,1,10,2021,8676.0,50,49
242,1,10,2021,8680.0,29,50
243,1,10,2021,8681.0,49,44
244,1,10,2022,95.0,13,34
245,1,10,2022,8591.0,19,38
246,1,10,2022,8595.0,18,42
247,1,10,2022,8622.0,13,9
248,1,10,2022,8637.0,43,48
249,1,10,2022,8639.0,27,49
250,1,10,2023,368.0,32,46
251,1,10,2024,231.0,11,35
252,1,10,2024,232.0,17,49
253,1,10,2024,459.0,44,7
254,1,10,2024,8644.0,10,13
255,1,10,2025,95.0,11,12
256,1,10,2025,763.0,31,47
257,1,11,2016,95.0,18,42
258,1,11,2016,99.0,27,45
